SA4_CODE21,SA4_NAME21,year,net_migration,population,net_per_1000
507,Perth - South West,2023,4748,485886,9.771839484982074
507,Perth - South West,2024,4995,502632,9.937688010313709
509,Western Australia - Wheat Belt,2022,528,142799,3.6975048844879868
509,Western Australia - Wheat Belt,2023,722,144819,4.985533666162589
509,Western Australia - Wheat Belt,2024,943,147036,6.41339535895971
510,Western Australia - Outback (North),2022,-623,97949,-6.360452888748226
510,Western Australia - Outback (North),2023,-748,99407,-7.524621002545092
510,Western Australia - Outback (North),2024,-775,100680,-7.697655939610647
511,Western Australia - Outback (South),2022,-351,124783,-2.812883165174743
511,Western Australia - Outback (South),2023,-756,125781,-6.010446728838219
511,Western Australia - Outback (South),2024,-460,126795,-3.6279033084900822
601,Hobart,2022,-899,252489,-3.5605511527234848
601,Hobart,2023,-1961,253984,-7.7209588005543655
601,Hobart,2024,-2000,254930,-7.845290864158789
602,Launceston and North East,2022,-165,155541,-1.0608135475533782
602,Launceston and North East,2023,-734,156041,-4.703891925840003
602,Launceston and North East,2024,-704,156249,-4.50562883602455
603,South East,2022,477,43466,10.974094694703906
603,South East,2023,174,43846,3.968434976964832
603,South East,2024,254,44284,5.735705898292838
604,West and North West,2022,208,119555,1.7397850361758187
604,West and North West,2023,-76,119867,-0.634036056629431
604,West and North West,2024,-107,120033,-0.8914215257470862
701,Darwin,2022,-1995,149154,-13.37543746731566
701,Darwin,2023,-2409,151122,-15.940763092071306
701,Darwin,2024,-2751,152489,-18.04064555476133
702,Northern Territory - Outback,2022,-565,101074,-5.589963788907138
702,Northern Territory - Outback,2023,-858,101940,-8.416715715126545
702,Northern Territory - Outback,2024,-1024,102580,-9.982452719828427
801,Australian Capital Territory,2022,-2211,456915,-4.838974426315617
801,Australian Capital Territory,2023,-1591,466359,-3.41153489050281
801,Australian Capital Territory,2024,-1550,473855,-3.271042829557565
901,Other Territories,2022,0,4920,0.0
901,Other Territories,2023,0,4967,0.0
901,Other Territories,2024,0,4994,0.0
